drug,country,analysis
Vyvanse,United States,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to obtain Vyvanse.', 'regulations': 'Vyvanse is regulated by the FDA and is categorized as a controlled substance due to its potential for abuse and dependence.'}"
Strattera,Australia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription is required from a licensed healthcare provider.', 'regulations': 'Strattera is classified as a Prescription Only Medicine (S4) in Australia.'}"
Strattera,Austria,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed doctor is required. Prescriptions lose validity after twelve months unless a shorter period is noted.', 'regulations': 'Prescription medications can be ordered online, and regulations apply to bringing prescription medication into the country. For stays longer than 30 days, a local prescription from an Austrian doctor is needed.'}"
Strattera,Belgium,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Medical prescription and doctor's certificate are required for import if not available."", 'regulations': 'Pharmacists may import medication based on Article 105 of the Royal Decree of 14 December 2006.'}"
Strattera,Canada,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to obtain Strattera.', 'regulations': 'Strattera is regulated as a prescription medication in Canada, and its use is monitored by healthcare professionals.'}"
Strattera,Chile,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to obtain Strattera in Chile.', 'regulations': 'Strattera is classified as a non-stimulant medication for ADHD and may have specific regulations governing its prescription and dispensing.'}"
Strattera,Colombia,"{'legal_status': <LegalStatus.ILLEGAL: 'illegal'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'A valid prescription written by a licensed Colombian doctor is required.', 'regulations': 'Strattera is not available in Colombia, and obtaining it requires a prescription from a Colombian doctor after a consultation.'}"
Strattera,Costa Rica,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a doctor or licensed healthcare professional is required to obtain Strattera.', 'regulations': 'Pharmacy regulations in Costa Rica govern the importation, distribution, and sale of medications, overseen by the Ministry of Health.'}"
Strattera,Czech Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.NOT_AVAILABLE: 'not available'>, 'prescription_requirements': 'Medical prescriptions must be created in electronic form (e-prescriptions) as per the National eHealth Strategy introduced on 1 January 2018.', 'regulations': 'The use and distribution of drugs are regulated under the Controlled Substances Act in the Czech Republic, with a distinction between illegal drugs and legally regulated medications. The State Institute for Drug Control (SÚKL) designates medicines with limited availability status.'}"
Strattera,Denmark,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Documentation for your condition from your home doctor and information about the specific medication you take is required.', 'regulations': 'Medicines must meet strict quality, safety, and efficacy requirements before being authorized; the Danish Medicines Agency assesses applications for new medicines.'}"
Strattera,Estonia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Strattera is classified as a controlled substance in Estonia and is subject to national health insurance regulations.'}"
Strattera,Finland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription issued in an EU or EEA country or Switzerland is required.', 'regulations': 'Strattera can only be purchased with a prescription at a pharmacy in Finland, and it is subject to specific regulations for importing and personal use.'}"
Strattera,France,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription must be written by a healthcare professional, including their identity details and signature. Prescriptions from other EU/EEA member states are recognized but may be refused based on authenticity or best interest of the patient.', 'regulations': 'Prescriptions are regulated by the French National Agency for the Safety of Medicines and Health Products (ANSM). Some medications may be covered by the national health insurance system.'}"
Strattera,Germany,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'You require a prescription from a psychiatrist, along with diagnostic papers and a statement from your current doctor regarding dosage.', 'regulations': 'Any prescription must be filled at a pharmacy (Apotheke) in Germany.'}"
Strattera,Greece,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription from a licensed medical practitioner, such as a doctor or pharmacist.', 'regulations': 'Ordering medications online in Greece is legal, but prescription drugs are only available with a prescription.'}"
Strattera,Hungary,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Valid prescription from a licensed medical practitioner, including prescriptions from Serbia.', 'regulations': 'Prescription medications are usually paid for out of pocket in Hungary; some may be covered by the National Health Insurance Fund (NEAK).'}"
Strattera,Iceland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""An individual must be able to produce a physician's certificate, a prescription, or other written declaration, together with instructions for use, which provide satisfactory proof that the medicinal products have been acquired by legitimate means and that they are necessary."", 'regulations': 'Most medications require marketing authorization from the Icelandic Medicines Agency, and prescription drugs require a prescription from a licensed medical practitioner.'}"
Strattera,Ireland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Product subject to medical prescription which may not be renewed.', 'regulations': 'Prescriptions must include certain information about the patient, doctor, and medical product prescribed; not all details required in Ireland are necessary for prescriptions in other EEA countries.'}"
Strattera,Israel,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed medical practitioner is required.', 'regulations': 'Regulated by the Ministry of Health under the Pharmacists Ordinance (New Version) 1981.'}"
Strattera,Italy,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed physician is required to obtain Strattera in Italy.', 'regulations': 'Strattera is not available over the counter and is subject to strict prescription regulations, especially following the cessation of its marketing.'}"
Strattera,Japan,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider in Japan is required to obtain Strattera.', 'regulations': 'Strattera is regulated under Japanese law as it is a medication for ADHD; an import certificate is needed if bringing it into the country.'}"
Strattera,Korea,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed medical professional in South Korea is required.', 'regulations': 'Visitors can only bring a three-month supply of prescription medication, and importation of narcotics is strictly prohibited.'}"
Strattera,Latvia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription from a licensed healthcare provider in Latvia.', 'regulations': 'Atomoxetine (Strattera) is listed on the Latvian National Health Service (NHS) and is subject to specific prescription regulations.'}"
Strattera,Lithuania,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription is required from a licensed healthcare provider, and it must be approved by the Ministry of Health in Lithuania.', 'regulations': 'Strattera is subject to regulations regarding its prescription and reimbursement; only medications approved by the Ministry of Health are reimbursed by the Lithuanian health insurance fund.'}"
Strattera,Luxembourg,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required.', 'regulations': 'Strattera (atomoxetine) is regulated as a prescription medication and is not available over the counter.'}"
Strattera,Mexico,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a Mexican doctor is required.', 'regulations': 'The medication may be sold under a different name; ensure it is COFEPRIS-compliant.'}"
Strattera,Netherlands,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription issued by a medical professional is required; valid prescriptions from other EU countries are recognized.', 'regulations': 'Medicinal products for human use must have marketing authorisation granted by the Medicines Evaluation Board (MEB) after assessment of efficacy, safety, and quality.'}"
Strattera,New Zealand,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Available only with a doctor's prescription."", 'regulations': 'Under the Medicines Act 1981 and Misuse of Drugs Regulations 1977, STRATTERA is classified as a controlled drug with specific prescribing restrictions.'}"
Strattera,Norway,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': ""Doctor's prescription required due to its classification as a controlled substance."", 'regulations': 'Regulated under the Norwegian Regulation Forskrift om legemidler and the EU Directive 2001/83/EC. Requires adherence to guidelines for changing the classification for the supply of medicinal products.'}"
Strattera,Poland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'Prescription from a doctor is required; valid for six months.', 'regulations': ""E-prescribing is obligatory from January 2020; detailed information on drug import regulations is available on the Chief Pharmaceutical Inspectorate's website.""}"
Strattera,Portugal,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A paper prescription or a text message with a code from a doctor is required to pick up Strattera in a pharmacy.', 'regulations': 'Strattera cannot be delivered to a specific location. E-prescriptions from certain EU countries can be used in Portugal.'}"
Strattera,Slovak Republic,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription is required from a doctor in Slovakia, which can be obtained by visiting a local GP.', 'regulations': 'Strattera is regulated under the Act No. 362/2011 on Drugs and Medicinal Aids. It is available in pharmacies, and the country has specific regulations about the import of medication that contains controlled substances.'}"
Strattera,Slovenia,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A physician must prescribe the medication, and it is advisable to carry a health care identification card.', 'regulations': 'Strattera is approved for circulation in Slovenia and listed in the positive or intermediate list of the ZZZS (Health Insurance Institute of Slovenia).'}"
Strattera,Spain,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to obtain Strattera in Spain.', 'regulations': 'Strattera is subject to strict regulations due to potential health risks, especially for patients with heart conditions. Recent tightening of rules has made it harder to obtain prescription drugs without a prescription.'}"
Strattera,Sweden,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A current paper prescription for cross-border use from your home country or a new Swedish prescription is required.', 'regulations': 'Certain types of strong medicines cannot be obtained using a foreign prescription; the pharmacist must be able to understand and interpret the prescription.'}"
Strattera,Switzerland,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'A prescription from a licensed healthcare provider is required to obtain Strattera in Switzerland.', 'regulations': 'Strattera is not classified as a controlled substance, and individuals can import up to one month’s supply for personal use.'}"
Strattera,Turkey,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Strattera in Turkey.', 'regulations': 'Strattera is classified as a prescription drug in Turkey, and its importation and sale are subject to specific regulations. The drug must be obtained from licensed pharmacies and cannot be sold over-the-counter.'}"
Strattera,United Kingdom,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.RESTRICTED: 'restricted'>, 'prescription_requirements': 'A valid prescription from a licensed healthcare provider is required to obtain Strattera.', 'regulations': 'Strattera is categorized as a Prescription Only Medicine (POM) in the UK, and pharmacists must fax a photocopy of the original prescription to BR Pharma International.'}"
Strattera,United States,"{'legal_status': <LegalStatus.PRESCRIPTION: 'prescription-only'>, 'availability': <Availability.EASILY_AVAILABLE: 'easily available'>, 'prescription_requirements': 'Licensed healthcare professionals such as psychiatrists, primary care physicians, and psychiatric nurse practitioners can prescribe Strattera. A healthcare professional will evaluate symptoms and medical history to determine if Strattera is appropriate.', 'regulations': 'Strattera is not classified as a controlled substance, allowing prescriptions for more than a 30-day supply.'}"
